EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 11    1     -8    18    -1    -5    0     5    0.310 -0.266 -47.203 2.656 0.112 0.106 0
 -4    6     -2    0     -2    2     -2    -3   0.397 -0.322 -46.884 2.620 0.112 0.102 0
 -4    6     -2    0     -2    2     -2    -3   0.450 -0.373 -46.537 2.585 0.112 0.100 0
 -4    6     -2    0     -2    2     -2    -3   0.472 -0.417 -46.151 2.553 0.113 0.099 0
 -4    6     -2    0     -2    2     -2    -3   0.458 -0.447 -45.721 2.524 0.113 0.100 0
 6     11    23    18    -1    1     -2    1    0.420 -0.462 -45.225 2.498 0.113 0.100 0
 6     11    23    18    -1    1     -2    1    0.354 -0.475 -44.679 2.475 0.113 0.099 0
 6     11    23    18    -1    1     -2    1    0.266 -0.473 -44.074 2.454 0.113 0.097 0
 6     11    23    18    -1    1     -2    1    0.159 -0.460 -43.425 2.434 0.113 0.091 0
 -1    -2    -11   -8    -5    -11   -2    -4   0.021 -0.433 -42.735 2.416 0.113 0.086 0
 6     5     9     1     8     0     1     4    -0.127 -0.402 -42.016 2.397 0.114 0.076 0
 6     5     9     1     8     0     1     4    -0.346 -0.372 -41.102 2.372 0.114 0.066 0
 6     5     9     1     8     0     1     4    -0.536 -0.366 -40.373 2.348 0.114 0.059 0
 6     5     9     1     8     0     1     4    -0.746 -0.382 -39.663 2.319 0.113 0.055 0
 -4    -8    -12   -4    -3    1     -5    0    -0.953 -0.406 -38.972 2.286 0.112 0.052 0
 -4    -8    -12   -4    -3    1     -5    0    -1.156 -0.435 -38.306 2.249 0.111 0.049 0
 3     11    17    -1    -1    6     0     -3   -1.345 -0.465 -37.660 2.209 0.109 0.047 0
 3     11    17    -1    -1    6     0     -3   -1.516 -0.493 -37.031 2.167 0.107 0.046 0
 3     11    17    -1    -1    6     0     -3   -1.664 -0.526 -36.415 2.124 0.105 0.044 0
 3     11    17    -1    -1    6     0     -3   -1.796 -0.568 -35.793 2.081 0.102 0.043 0
 6     7     6     -2    -2    -7    0     1    -1.911 -0.614 -35.164 2.041 0.099 0.044 0
 6     7     6     -2    -2    -7    0     1    -1.999 -0.659 -34.524 2.003 0.096 0.042 0
 6     7     6     -2    -2    -7    0     1    -2.087 -0.691 -33.861 1.968 0.092 0.044 0
 6     7     6     -2    -2    -7    0     1    -2.163 -0.693 -33.181 1.938 0.087 0.049 0
 1     2     -2    -6    2     4     -3    -2   -2.226 -0.666 -32.487 1.910 0.082 0.051 0
 0     1     -2    3     4     2     6     1    -2.299 -0.626 -31.789 1.884 0.076 0.057 0
 0     1     -2    3     4     2     6     1    -2.365 -0.580 -31.090 1.859 0.072 0.060 0
 0     1     -2    3     4     2     6     1    -2.432 -0.538 -30.393 1.835 0.068 0.062 0
 0     1     -2    3     4     2     6     1    -2.503 -0.508 -29.542 1.803 0.064 0.063 0
 -1    -2    -7    -4    4     41    6     -2   -2.561 -0.500 -28.881 1.775 0.060 0.066 0
 -1    -2    -7    -4    4     41    6     -2   -2.614 -0.494 -28.238 1.747 0.055 0.072 0
 0     1     -4    -2    -14   -30   -5    -2   -2.658 -0.467 -27.617 1.719 0.050 0.076 0
 0     1     -4    -2    -14   -30   -5    -2   -2.693 -0.422 -27.011 1.692 0.046 0.080 0
 0     1     -4    -2    -14   -30   -5    -2   -2.716 -0.360 -26.422 1.666 0.042 0.080 0
 0     1     -4    -2    -14   -30   -5    -2   -2.736 -0.296 -25.860 1.638 0.040 0.080 0
 3     -1    0     -3    5     6     0     -2   -2.756 -0.232 -25.313 1.609 0.037 0.081 0
 3     -1    0     -3    5     6     0     -2   -2.775 -0.182 -24.770 1.581 0.034 0.083 0
 3     -1    0     -3    5     6     0     -2   -2.796 -0.154 -24.240 1.551 0.030 0.085 0
 4     3     -1    3     4     5     2     3    -2.813 -0.146 -23.700 1.523 0.027 0.087 0
 4     3     -1    3     4     5     2     3    -2.832 -0.150 -23.160 1.494 0.025 0.089 0
 -2    -1    -4    -5    -3    1     5     -2   -2.852 -0.148 -22.601 1.467 0.022 0.091 0
 -2    -1    -4    -5    -3    1     5     -2   -2.865 -0.146 -22.046 1.440 0.020 0.090 0
 -2    -1    -4    -5    -3    1     5     -2   -2.880 -0.129 -21.488 1.414 0.018 0.088 0
 -2    -1    -4    -5    -3    1     5     -2   -2.896 -0.076 -20.907 1.392 0.017 0.086 0
 -3    -2    -3    6     4     3     -5    -1   -2.891 -0.002 -20.327 1.370 0.017 0.077 0
 -3    -2    -3    6     4     3     -5    -1   -2.889 0.082 -19.744 1.349 0.017 0.070 0
 -1    -1    1     4     1     -55   -3    -1   -2.878 0.163 -19.156 1.330 0.017 0.062 0
 -1    -1    1     4     1     -55   -3    -1   -2.862 0.230 -18.576 1.309 0.017 0.054 0
 -1    -1    1     4     1     -55   -3    -1   -2.838 0.288 -17.998 1.289 0.017 0.047 0
 -1    -1    1     4     1     -55   -3    -1   -2.791 0.339 -17.434 1.268 0.018 0.038 0
 0     -2    -3    -4    4     34    -6    -2   -2.737 0.390 -16.880 1.246 0.018 0.030 0
 0     -2    -3    -4    4     34    -6    -2   -2.667 0.432 -16.341 1.222 0.018 0.020 0
 0     -2    -3    -4    4     34    -6    -2   -2.582 0.460 -15.820 1.196 0.019 0.009 0
 0     -2    -4    -5    -7    1     7     2    -2.487 0.473 -15.318 1.168 0.019 -0.002 0
 0     -2    -4    -5    -7    1     7     2    -2.379 0.470 -14.833 1.137 0.020 -0.014 0
