EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 2     0     -4    -3    -2    8     -2    2     0
 0     0     2     0     0     2     0     0    -3.266 -0.217 -10.840 0.822 -0.004 0.006 0
 0     0     2     0     0     2     0     0    -3.160 -0.220 -11.401 0.830 0.000 -0.002 0
 0     0     2     0     0     2     0     0    -3.086 -0.196 -11.742 0.839 0.003 -0.008 0
 0     0     2     0     0     2     0     0    -3.009 -0.168 -12.051 0.852 0.006 -0.014 0
 0     0     2     0     0     2     0     0    -2.937 -0.141 -12.325 0.868 0.009 -0.017 0
 -4    -4    9     1     2     -2    -2    1    -2.859 -0.128 -12.571 0.885 0.011 -0.021 0
 -4    -4    9     1     2     -2    -2    1    -2.773 -0.134 -12.788 0.903 0.015 -0.028 0
 -4    -4    9     1     2     -2    -2    1    -2.689 -0.154 -12.992 0.921 0.018 -0.035 0
 -4    -4    9     1     2     -2    -2    1    -2.599 -0.173 -13.199 0.936 0.023 -0.045 0
 -13   4     0     1     -2    -2    -1    -3   -2.519 -0.199 -13.409 0.948 0.026 -0.053 0
 -13   4     0     1     -2    -2    -1    -3   -2.438 -0.233 -13.641 0.956 0.030 -0.062 0
 -13   4     0     1     -2    -2    -1    -3   -2.369 -0.265 -13.890 0.960 0.033 -0.070 0
 -2    -1    7     12    2     0     -1    5    -2.317 -0.293 -14.150 0.963 0.035 -0.074 0
 -2    -1    7     12    2     0     -1    5    -2.257 -0.324 -14.414 0.965 0.038 -0.080 0
 10    -1    -11   -13   -3    -1    -2    1    -2.216 -0.354 -14.678 0.967 0.040 -0.083 0
 10    -1    -11   -13   -3    -1    -2    1    -2.174 -0.388 -14.932 0.971 0.042 -0.086 0
 10    -1    -11   -13   -3    -1    -2    1    -2.144 -0.421 -15.178 0.975 0.044 -0.086 0
 10    -1    -11   -13   -3    -1    -2    1    -2.103 -0.465 -15.464 0.983 0.047 -0.088 0
 -12   -10   -6    -1    1     2     0     -4   -2.080 -0.496 -15.629 0.988 0.048 -0.090 0
 -12   -10   -6    -1    1     2     0     -4   -2.052 -0.528 -15.845 0.995 0.050 -0.091 0
 4     2     8     -6    -1    -2    -2    -2   -2.033 -0.554 -16.052 1.002 0.051 -0.091 0
 4     2     8     -6    -1    -2    -2    -2   -2.020 -0.573 -16.255 1.009 0.052 -0.089 0
 4     2     8     -6    -1    -2    -2    -2   -2.025 -0.595 -16.462 1.014 0.052 -0.084 0
 4     2     8     -6    -1    -2    -2    -2   -2.036 -0.624 -16.669 1.018 0.052 -0.080 0
 3     -2    -6    -17   -2    -2    0     -1   -2.068 -0.650 -16.884 1.021 0.052 -0.072 0
 3     -2    -6    -17   -2    -2    0     -1   -2.099 -0.665 -17.081 1.027 0.052 -0.065 0
 3     -2    -6    -17   -2    -2    0     -1   -2.140 -0.686 -17.282 1.032 0.052 -0.056 0
 4     0     2     1     4     3     2     2    -2.178 -0.698 -17.477 1.039 0.051 -0.046 0
 4     0     2     1     4     3     2     2    -2.216 -0.705 -17.663 1.047 0.050 -0.034 0
 5     6     6     -1    0     2     -2    7    -2.238 -0.707 -17.847 1.057 0.049 -0.023 0
 5     6     6     -1    0     2     -2    7    -2.255 -0.711 -18.038 1.067 0.047 -0.012 0
 5     6     6     -1    0     2     -2    7    -2.251 -0.708 -18.229 1.079 0.047 -0.004 0
 5     6     6     -1    0     2     -2    7    -2.251 -0.697 -18.428 1.089 0.046 0.004 0
 -18   -7    -10   -12   -6    -4    -2    -12  -2.241 -0.699 -18.664 1.095 0.045 0.010 0
 -18   -7    -10   -12   -6    -4    -2    -12  -2.230 -0.697 -18.905 1.098 0.045 0.015 0
 -18   -7    -10   -12   -6    -4    -2    -12  -2.222 -0.704 -19.173 1.097 0.044 0.019 0
 -18   -7    -10   -12   -6    -4    -2    -12  -2.228 -0.708 -19.437 1.095 0.043 0.027 0
 4     4     6     15    2     -1    2     6    -2.227 -0.713 -19.687 1.094 0.043 0.032 0
 4     4     6     15    2     -1    2     6    -2.233 -0.717 -19.917 1.096 0.042 0.040 0
 5     8     1     12    -1    -3    -4    -6   -2.234 -0.716 -20.105 1.102 0.041 0.048 0
 5     8     1     12    -1    -3    -4    -6   -2.221 -0.713 -20.270 1.111 0.041 0.055 0
 5     8     1     12    -1    -3    -4    -6   -2.204 -0.700 -20.406 1.123 0.040 0.062 0
 -3    -4    -4    -3    -1    0     -1    4    -2.155 -0.662 -20.550 1.141 0.040 0.069 0
 -3    -4    -4    -3    -1    0     -1    4    -2.118 -0.629 -20.628 1.153 0.040 0.072 0
 -29   -19   -7    -16   -3    0     -3    -5   -2.054 -0.576 -20.733 1.168 0.040 0.075 0
 -29   -19   -7    -16   -3    0     -3    -5   -1.978 -0.509 -20.830 1.186 0.040 0.077 0
 -29   -19   -7    -16   -3    0     -3    -5   -1.879 -0.431 -20.986 1.205 0.041 0.078 0
 -29   -19   -7    -16   -3    0     -3    -5   -1.795 -0.379 -21.138 1.218 0.042 0.077 0
 5     5     8     8     2     0     0     2    -1.722 -0.326 -21.300 1.230 0.042 0.077 0
 5     5     8     8     2     0     0     2    -1.649 -0.290 -21.496 1.240 0.044 0.077 0
 3     11    5     10    -1    -3    0     -3   -1.566 -0.265 -21.703 1.249 0.046 0.074 0
 3     11    5     10    -1    -3    0     -3   -1.503 -0.253 -21.934 1.257 0.047 0.077 0
 3     11    5     10    -1    -3    0     -3   -1.427 -0.245 -22.171 1.265 0.048 0.077 0
 10    3     -19   -10   -2    -1    -1    -2   -1.350 -0.242 -22.421 1.272 0.050 0.077 0
 2     -13   -2    2     -1    0     -2    -4   -1.256 -0.239 -22.680 1.281 0.052 0.074 0
 2     -13   -2    2     -1    0     -2    -4   -1.148 -0.225 -22.932 1.291 0.056 0.070 0
 2     -13   -2    2     -1    0     -2    -4   -1.039 -0.200 -23.180 1.304 0.058 0.066 0
 -2    -2    13    1     -1    -2    -3    -2   -0.925 -0.173 -23.429 1.317 0.061 0.063 0
 -2    -2    13    1     -1    -2    -3    -2   -0.810 -0.142 -23.688 1.329 0.064 0.059 0
 9     -4    -4    -10   -1    -2    -1    -8   -0.698 -0.096 -23.930 1.344 0.066 0.055 0
 9     -4    -4    -10   -1    -2    -1    -8   -0.593 -0.053 -24.182 1.358 0.069 0.051 0
 9     -4    -4    -10   -1    -2    -1    -8   -0.516 -0.011 -24.426 1.372 0.070 0.052 0
 9     -4    -4    -10   -1    -2    -1    -8   -0.440 0.019 -24.666 1.386 0.072 0.050 0
 15    16    27    -5    -3    -3    0     10   -0.399 0.027 -24.907 1.398 0.073 0.054 0
 15    16    27    -5    -3    -3    0     10   -0.366 0.017 -25.144 1.410 0.075 0.056 0
 -8    -31   -42   -8    -2    -3    -5    -13  -0.343 -0.014 -25.395 1.419 0.077 0.058 0
 -8    -31   -42   -8    -2    -3    -5    -13  -0.327 -0.038 -25.633 1.430 0.079 0.058 0
 -8    -31   -42   -8    -2    -3    -5    -13  -0.316 -0.063 -25.883 1.439 0.081 0.057 0
 11    4     -5    -1    -1    1     3     3    -0.304 -0.083 -26.129 1.448 0.084 0.056 0
 -13   15    22    19    -1    -2    0     4    -0.295 -0.105 -26.375 1.458 0.086 0.054 0
 -13   15    22    19    -1    -2    0     4    -0.304 -0.122 -26.627 1.468 0.087 0.056 0
 -13   15    22    19    -1    -2    0     4    -0.317 -0.138 -26.882 1.477 0.088 0.056 0
 -30   -24   -35   5     1     1     0     9    -0.338 -0.157 -27.133 1.486 0.089 0.056 0
 -30   -24   -35   5     1     1     0     9    -0.377 -0.178 -27.395 1.494 0.091 0.058 0
 15    7     -6    -8    -2    2     2     9    -0.430 -0.200 -27.659 1.500 0.092 0.061 0
 15    7     -6    -8    -2    2     2     9    -0.497 -0.226 -27.928 1.505 0.092 0.064 0
 15    7     -6    -8    -2    2     2     9    -0.576 -0.255 -28.189 1.510 0.093 0.069 0
