EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 2     0     2     6     11    -26   -79   -11   0
 -16   -29   28    -4    2     2     2     -3   0.715 -0.049 -17.156 1.016 0.020 0.276 0
 -16   -29   28    -4    2     2     2     -3   0.588 0.137 -17.398 1.065 0.016 0.298 0
 -11   26    5     -1    -5    -5    -1    -2   0.492 0.306 -17.671 1.116 0.015 0.301 0
 -11   26    5     -1    -5    -5    -1    -2   0.393 0.362 -18.016 1.158 0.020 0.305 0
 -11   26    5     -1    -5    -5    -1    -2   0.339 0.268 -18.486 1.175 0.025 0.295 0
 -11   26    5     -1    -5    -5    -1    -2   0.339 0.135 -19.037 1.182 0.028 0.282 0
 -18   -19   -17   10    1     0     -4    -15  0.407 0.069 -19.616 1.190 0.034 0.268 0
 -18   -19   -17   10    1     0     -4    -15  0.535 0.047 -20.198 1.205 0.037 0.240 0
 0     0     -5    11    4     2     2     6    0.702 0.015 -20.814 1.221 0.043 0.218 0
 0     0     -5    11    4     2     2     6    0.879 0.000 -21.416 1.240 0.046 0.196 0
 0     0     -5    11    4     2     2     6    1.068 -0.090 -22.048 1.259 0.050 0.170 0
 9     32    32    16    0     -2    -3    2    1.219 -0.192 -22.668 1.276 0.055 0.152 0
 9     32    32    16    0     -2    -3    2    1.340 -0.250 -23.287 1.294 0.057 0.137 0
 26    1     -28   12    -2    -2    -2    -4   1.423 -0.239 -23.856 1.318 0.059 0.130 0
 26    1     -28   12    -2    -2    -2    -4   1.477 -0.142 -24.533 1.352 0.061 0.127 0
 26    1     -28   12    -2    -2    -2    -4   1.495 -0.013 -24.998 1.389 0.061 0.128 0
 26    1     -28   12    -2    -2    -2    -4   1.505 0.100 -25.428 1.430 0.062 0.131 0
 -45   1     -23   -19   -7    -3    -6    -18  1.508 0.165 -25.823 1.471 0.062 0.137 0
 -45   1     -23   -19   -7    -3    -6    -18  1.520 0.204 -26.190 1.514 0.062 0.141 0
 -45   1     -23   -19   -7    -3    -6    -18  1.553 0.258 -26.537 1.561 0.063 0.142 0
 19    -1    17    -5    -4    -2    1     -2   1.593 0.322 -26.889 1.607 0.063 0.142 0
 19    -1    17    -5    -4    -2    1     -2   1.655 0.392 -27.277 1.651 0.067 0.135 0
 21    3     1     -12   -4    -2    -3    0    1.723 0.455 -27.704 1.691 0.071 0.124 0
 21    3     1     -12   -4    -2    -3    0    1.783 0.484 -28.216 1.718 0.074 0.117 0
 21    3     1     -12   -4    -2    -3    0    1.819 0.467 -28.794 1.733 0.074 0.114 0
 21    3     1     -12   -4    -2    -3    0    1.828 0.410 -29.427 1.741 0.072 0.116 0
 45    39    29    -11   -4    -4    0     2    1.809 0.334 -30.094 1.741 0.071 0.120 0
 45    39    29    -11   -4    -4    0     2    1.765 0.272 -30.762 1.742 0.070 0.126 0
 -8    -29   -25   -3    1     1     -1    -18  1.704 0.242 -31.400 1.747 0.071 0.131 0
 -8    -29   -25   -3    1     1     -1    -18  1.638 0.220 -31.997 1.757 0.074 0.134 0
 -8    -29   -25   -3    1     1     -1    -18  1.560 0.200 -32.541 1.773 0.075 0.142 0
 -8    -29   -25   -3    1     1     -1    -18  1.485 0.200 -33.029 1.793 0.074 0.153 0
 36    36    28    -4    -7    -7    -2    21   1.425 0.240 -33.454 1.819 0.072 0.163 0
 36    36    28    -4    -7    -7    -2    21   1.380 0.313 -33.826 1.852 0.070 0.173 0
 36    36    28    -4    -7    -7    -2    21   1.339 0.423 -34.156 1.889 0.068 0.182 0
 -38   -2    11    18    6     3     -1    -14  1.319 0.564 -34.444 1.933 0.069 0.187 0
 -38   -2    11    18    6     3     -1    -14  1.290 0.685 -34.725 1.979 0.068 0.197 0
 13    -1    -15   11    1     2     2     10   1.256 0.767 -35.038 2.020 0.067 0.211 0
 13    -1    -15   11    1     2     2     10   1.213 0.810 -35.392 2.057 0.064 0.229 0
 13    -1    -15   11    1     2     2     10   1.173 0.830 -35.811 2.086 0.061 0.249 0
 13    -1    -15   11    1     2     2     10   1.146 0.843 -36.322 2.103 0.059 0.265 0
 -42   -42   -25   4     2     -1    2     1    1.144 0.873 -36.899 2.114 0.060 0.274 0
 -42   -42   -25   4     2     -1    2     1    1.152 0.897 -37.533 2.118 0.060 0.281 0
 -2    3     22    10    0     -1    -3    -6   1.179 0.899 -38.193 2.118 0.061 0.285 0
 -2    3     22    10    0     -1    -3    -6   1.221 0.860 -38.868 2.114 0.061 0.287 0
 -2    3     22    10    0     -1    -3    -6   1.275 0.794 -39.502 2.112 0.062 0.288 0
 -2    3     22    10    0     -1    -3    -6   1.337 0.712 -40.095 2.112 0.064 0.288 0
 -40   -47   -67   59    12    0     -4    -27  1.406 0.635 -40.611 2.118 0.065 0.287 0
 -40   -47   -67   59    12    0     -4    -27  1.471 0.589 -41.042 2.132 0.067 0.287 0
 -40   -47   -67   59    12    0     -4    -27  1.550 0.575 -41.376 2.157 0.069 0.285 0
 -38   -50   -36   -14   -4    -1    3     12   1.611 0.583 -41.643 2.187 0.070 0.288 0
 -38   -50   -36   -14   -4    -1    3     12   1.678 0.616 -41.863 2.220 0.072 0.289 0
 -35   -25   32    -27   -4    2     3     4    1.742 0.660 -42.058 2.254 0.073 0.289 0
 -35   -25   32    -27   -4    2     3     4    1.803 0.734 -42.222 2.290 0.074 0.289 0
 -35   -25   32    -27   -4    2     3     4    1.861 0.817 -42.399 2.324 0.075 0.286 0
 -35   -25   32    -27   -4    2     3     4    1.919 0.896 -42.601 2.355 0.078 0.281 0
 -18   19    10    -5    -3    0     -4    -10  1.981 0.965 -42.827 2.383 0.081 0.272 0
 -18   19    10    -5    -3    0     -4    -10  2.030 1.007 -43.090 2.407 0.085 0.263 0
 28    8     23    5     -3    -4    -2    7    2.089 1.008 -43.408 2.422 0.089 0.251 0
 28    8     23    5     -3    -4    -2    7    2.140 0.967 -43.759 2.433 0.093 0.240 0
 28    8     23    5     -3    -4    -2    7    2.181 0.905 -44.159 2.436 0.096 0.232 0
 28    8     23    5     -3    -4    -2    7    2.240 0.830 -44.574 2.436 0.100 0.220 0
 28    8     23    5     -3    -4    -2    7    2.295 0.753 -44.996 2.435 0.103 0.209 0
 28    8     23    5     -3    -4    -2    7    2.347 0.671 -45.410 2.435 0.107 0.200 0
 -9    20    -16   -4    4     3     1     17   2.402 0.588 -45.791 2.440 0.111 0.192 0
 -36   33    32    -4    -3    -4    -3    -4   2.490 0.491 -46.368 2.463 0.114 0.191 0
 -36   33    32    -4    -3    -4    -3    -4   2.512 0.483 -46.513 2.472 0.114 0.193 0
 3     -27   -90   -39   -7    -2    0     0    2.554 0.484 -46.721 2.486 0.113 0.196 0
 3     -27   -90   -39   -7    -2    0     0    2.608 0.511 -46.977 2.506 0.113 0.199 0
 3     -27   -90   -39   -7    -2    0     0    2.651 0.550 -47.209 2.530 0.113 0.203 0
 3     -27   -90   -39   -7    -2    0     0    2.690 0.584 -47.433 2.555 0.114 0.204 0
 -34   -17   -44   2     9     6     2     4    2.712 0.611 -47.646 2.582 0.115 0.207 0
 -34   -17   -44   2     9     6     2     4    2.728 0.627 -47.871 2.609 0.117 0.209 0
 22    58    76    -6    -8    -5    1     11   2.719 0.628 -48.116 2.634 0.117 0.217 0
 22    58    76    -6    -8    -5    1     11   2.716 0.621 -48.404 2.655 0.117 0.222 0
 22    58    76    -6    -8    -5    1     11   2.711 0.607 -48.722 2.674 0.118 0.227 0
 22    58    76    -6    -8    -5    1     11   2.701 0.583 -49.081 2.693 0.118 0.233 0
 48    -1    17    12    7     6     5     -16  2.708 0.552 -49.475 2.710 0.120 0.237 0
 48    -1    17    12    7     6     5     -16  2.714 0.515 -49.922 2.720 0.121 0.241 0
 -8    -6    -19   9     3     -6    -4    -5   2.732 0.464 -50.399 2.728 0.123 0.246 0
 62    57    31    42    8     6     7     15   2.756 0.399 -50.900 2.734 0.123 0.251 0
 62    57    31    42    8     6     7     15   2.797 0.327 -51.407 2.739 0.125 0.255 0
 -81   -73   -46   -13   -1    1     -7    -17  2.829 0.252 -51.907 2.748 0.126 0.263 0
 -81   -73   -46   -13   -1    1     -7    -17  2.863 0.200 -52.382 2.761 0.126 0.272 0
 -81   -73   -46   -13   -1    1     -7    -17  2.900 0.164 -52.839 2.779 0.127 0.282 0
