EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 -5    -4    -6    -4    -1    -2    2     -3    0
 68    6     5     -21   -6    -2    5     35   0.986 0.673 -44.303 2.733 0.112 0.249 0
 68    6     5     -21   -6    -2    5     35   0.948 0.626 -44.604 2.735 0.113 0.249 0
 -5    -31   -19   -23   1     0     4     6    0.888 0.598 -44.886 2.740 0.114 0.251 0
 -5    -31   -19   -23   1     0     4     6    0.830 0.587 -45.161 2.745 0.115 0.252 0
 -5    -31   -19   -23   1     0     4     6    0.773 0.605 -45.398 2.755 0.115 0.254 0
 -5    -31   -19   -23   1     0     4     6    0.717 0.648 -45.608 2.769 0.115 0.257 0
 -5    -31   -19   -23   1     0     4     6    0.669 0.700 -45.798 2.782 0.115 0.258 0
 -5    -31   -19   -23   1     0     4     6    0.629 0.759 -45.958 2.797 0.115 0.259 0
 12    71    -12   -30   -8    -5    0     6    0.599 0.808 -46.102 2.812 0.115 0.258 0
 -14   -51   -16   -14   -6    -1    1     -13  0.574 0.842 -46.214 2.829 0.116 0.257 0
 -47   -44   10    -23   -1    0     -3    -28  0.533 0.889 -46.374 2.863 0.116 0.262 0
 42    -14   28    12    10    8     7     10   0.526 0.895 -46.419 2.873 0.116 0.263 0
 42    -14   28    12    10    8     7     10   0.518 0.920 -46.515 2.893 0.115 0.265 0
 42    -14   28    12    10    8     7     10   0.516 0.945 -46.636 2.912 0.114 0.269 0
 42    -14   28    12    10    8     7     10   0.522 0.964 -46.799 2.927 0.112 0.271 0
 42    3     -16   30    2     -2    -5    -19  0.533 0.989 -46.990 2.942 0.111 0.273 0
 42    3     -16   30    2     -2    -5    -19  0.546 1.005 -47.221 2.954 0.111 0.274 0
 -10   3     -35   -23   -4    0     -3    -5   0.564 1.022 -47.493 2.963 0.110 0.273 0
 -10   3     -35   -23   -4    0     -3    -5   0.588 1.028 -47.799 2.969 0.111 0.270 0
 -10   3     -35   -23   -4    0     -3    -5   0.613 1.031 -48.125 2.974 0.112 0.265 0
 -10   3     -35   -23   -4    0     -3    -5   0.636 1.029 -48.462 2.979 0.112 0.262 0
 35    -8    41    -1    -3    -5    -3    7    0.657 1.030 -48.785 2.986 0.113 0.259 0
 35    -8    41    -1    -3    -5    -3    7    0.675 1.033 -49.101 2.995 0.112 0.257 0
 35    -8    41    -1    -3    -5    -3    7    0.690 1.045 -49.384 3.006 0.112 0.254 0
 -34   -12   -24   10    -2    -1    -3    -6   0.699 1.066 -49.652 3.017 0.112 0.251 0
