EMG1  EMG2  EMG3  EMG4  EMG5  EMG6  EMG7  EMG8  ForceX ForceY ForceZ tauX tawY tayZ Angle_deg TimeStep_ms
 0     -2    0     4     5     5     -1    3     0
 -7    -1    4     1     0     -3    -1    -1   -1.460 -0.019 -13.375 0.867 0.005 0.018 0
 -7    -1    4     1     0     -3    -1    -1   -1.434 -0.023 -13.762 0.884 0.008 0.017 0
 -7    -1    4     1     0     -3    -1    -1   -1.400 -0.013 -14.058 0.897 0.011 0.012 0
 -7    -1    4     1     0     -3    -1    -1   -1.383 -0.011 -14.344 0.910 0.012 0.009 0
 -7    -1    4     1     0     -3    -1    -1   -1.369 -0.019 -14.621 0.922 0.014 0.005 0
 -9    6     9     -2    0     0     -1    4    -1.358 -0.045 -14.898 0.933 0.016 -0.001 0
 -9    6     9     -2    0     0     -1    4    -1.369 -0.079 -15.174 0.943 0.019 -0.008 0
 -9    6     9     -2    0     0     -1    4    -1.395 -0.112 -15.448 0.953 0.021 -0.014 0
 -9    6     9     -2    0     0     -1    4    -1.440 -0.146 -15.730 0.961 0.024 -0.021 0
 -16   -2    -20   6     -2    -4    -4    -16  -1.507 -0.177 -16.016 0.968 0.026 -0.024 0
 -16   -2    -20   6     -2    -4    -4    -16  -1.593 -0.212 -16.306 0.975 0.028 -0.025 0
 -16   -2    -20   6     -2    -4    -4    -16  -1.688 -0.248 -16.595 0.983 0.029 -0.025 0
 -27   -18   1     9     2     0     0     -3   -1.786 -0.280 -16.886 0.992 0.030 -0.024 0
 -27   -18   1     9     2     0     0     -3   -1.890 -0.303 -17.174 1.003 0.032 -0.020 0
 16    15    8     -22   -2    0     1     9    -1.992 -0.316 -17.464 1.016 0.032 -0.017 0
 16    15    8     -22   -2    0     1     9    -2.077 -0.335 -17.766 1.027 0.034 -0.015 0
 16    15    8     -22   -2    0     1     9    -2.169 -0.367 -18.090 1.035 0.034 -0.011 0
 16    15    8     -22   -2    0     1     9    -2.251 -0.410 -18.437 1.040 0.035 -0.008 0
 18    -13   4     -4    -1    0     0     2    -2.335 -0.445 -18.782 1.046 0.035 -0.002 0
 18    -13   4     -4    -1    0     0     2    -2.416 -0.480 -19.141 1.051 0.035 0.003 0
 14    6     -22   2     0     2     2     5    -2.504 -0.502 -19.502 1.056 0.034 0.010 0
 14    6     -22   2     0     2     2     5    -2.592 -0.525 -19.865 1.062 0.034 0.018 0
 14    6     -22   2     0     2     2     5    -2.691 -0.541 -20.218 1.069 0.033 0.028 0
 14    6     -22   2     0     2     2     5    -2.786 -0.571 -20.575 1.075 0.033 0.037 0
 -30   -6    15    24    5     3     2     -3   -2.879 -0.598 -20.913 1.084 0.032 0.045 0
 -30   -6    15    24    5     3     2     -3   -2.959 -0.614 -21.237 1.093 0.032 0.051 0
 -30   -6    15    24    5     3     2     -3   -3.032 -0.629 -21.559 1.102 0.032 0.056 0
 -7    -25   -53   -9    -1    -2    -1    6    -3.091 -0.632 -21.873 1.112 0.033 0.058 0
 -7    -25   -53   -9    -1    -2    -1    6    -3.147 -0.628 -22.184 1.122 0.034 0.060 0
 -3    2     11    -6    -4    -1    -1    -5   -3.194 -0.619 -22.477 1.134 0.035 0.060 0
 -3    2     11    -6    -4    -1    -1    -5   -3.250 -0.596 -22.839 1.148 0.036 0.062 0
 -3    2     11    -6    -4    -1    -1    -5   -3.284 -0.581 -23.113 1.160 0.036 0.063 0
 -3    2     11    -6    -4    -1    -1    -5   -3.311 -0.568 -23.380 1.172 0.036 0.064 0
 -8    12    7     0     -2    -4    -1    3    -3.330 -0.567 -23.646 1.184 0.037 0.066 0
 -26   -8    -11   -8    -5    -5    -5    -15  -3.349 -0.566 -23.902 1.196 0.036 0.068 0
 -26   -8    -11   -8    -5    -5    -5    -15  -3.355 -0.582 -24.172 1.206 0.037 0.070 0
 -26   -8    -11   -8    -5    -5    -5    -15  -3.349 -0.589 -24.434 1.217 0.038 0.071 0
 -26   -8    -11   -8    -5    -5    -5    -15  -3.331 -0.595 -24.699 1.228 0.039 0.072 0
 -26   -8    -11   -8    -5    -5    -5    -15  -3.294 -0.595 -24.963 1.241 0.040 0.072 0
 53    15    22    4     1     1     2     18   -3.252 -0.579 -25.238 1.252 0.039 0.074 0
 53    15    22    4     1     1     2     18   -3.196 -0.552 -25.521 1.263 0.040 0.075 0
 53    15    22    4     1     1     2     18   -3.130 -0.515 -25.807 1.275 0.040 0.074 0
 53    15    22    4     1     1     2     18   -3.067 -0.469 -26.100 1.287 0.041 0.075 0
 53    15    22    4     1     1     2     18   -2.996 -0.433 -26.395 1.300 0.042 0.075 0
 -22   -15   13    -6    -7    -6    -4    -22  -2.924 -0.403 -26.694 1.313 0.043 0.076 0
 -12   0     5     -6    0     1     0     -2   -2.853 -0.386 -27.000 1.325 0.044 0.077 0
 -12   0     5     -6    0     1     0     -2   -2.775 -0.367 -27.313 1.336 0.045 0.078 0
 -12   0     5     -6    0     1     0     -2   -2.694 -0.342 -27.626 1.347 0.046 0.077 0
 29    -5    -21   6     -4    -4    -5    2    -2.609 -0.310 -27.945 1.358 0.047 0.076 0
 -59   -24   -35   19    4     3     0     -15  -2.521 -0.278 -28.257 1.370 0.048 0.074 0
 -59   -24   -35   19    4     3     0     -15  -2.432 -0.247 -28.568 1.384 0.050 0.072 0
 -59   -24   -35   19    4     3     0     -15  -2.345 -0.211 -28.879 1.398 0.051 0.070 0
 -59   -24   -35   19    4     3     0     -15  -2.253 -0.177 -29.191 1.412 0.053 0.066 0
 -59   -24   -35   19    4     3     0     -15  -2.160 -0.147 -29.507 1.425 0.056 0.059 0
 -43   -29   -26   1     -5    -7    -6    -11  -2.077 -0.119 -29.821 1.438 0.058 0.055 0
 -43   -29   -26   1     -5    -7    -6    -11  -2.001 -0.100 -30.135 1.451 0.059 0.051 0
 -43   -29   -26   1     -5    -7    -6    -11  -1.931 -0.084 -30.447 1.463 0.061 0.049 0
 -13   0     -10   -5    2     2     0     -7   -1.877 -0.069 -30.757 1.476 0.061 0.049 0
 -13   0     -10   -5    2     2     0     -7   -1.829 -0.052 -31.059 1.489 0.062 0.049 0
 22    15    23    -4    1     -1    1     10   -1.787 -0.033 -31.360 1.501 0.063 0.049 0
 22    15    23    -4    1     -1    1     10   -1.750 -0.019 -31.661 1.512 0.065 0.049 0
 22    15    23    -4    1     -1    1     10   -1.711 -0.020 -32.035 1.524 0.067 0.049 0
 -33   -22   -5    -4    -5    -5    -6    -4   -1.688 -0.034 -32.328 1.533 0.068 0.050 0
 2     26    4     5     -1    -1    -1    1    -1.671 -0.055 -32.617 1.540 0.069 0.053 0
 -26   -5    5     -5    -2    -4    -1    -4   -1.651 -0.080 -32.897 1.548 0.070 0.054 0
 -26   -5    5     -5    -2    -4    -1    -4   -1.640 -0.096 -33.168 1.557 0.071 0.056 0
 -26   -5    5     -5    -2    -4    -1    -4   -1.639 -0.106 -33.429 1.566 0.072 0.058 0
 -26   -5    5     -5    -2    -4    -1    -4   -1.646 -0.112 -33.685 1.575 0.072 0.061 0
 16    35    31    -7    -1    -2    -2    -1   -1.658 -0.125 -33.937 1.584 0.073 0.063 0
 -24   -47   -11   5     -2    1     -2    -17  -1.687 -0.143 -34.189 1.593 0.074 0.067 0
 -24   -47   -11   5     -2    1     -2    -17  -1.716 -0.164 -34.432 1.602 0.076 0.071 0
 -24   -47   -11   5     -2    1     -2    -17  -1.761 -0.185 -34.675 1.611 0.077 0.078 0
 -7    -19   0     -9    0     1     2     5    -1.799 -0.204 -34.919 1.622 0.078 0.084 0
 -7    -19   0     -9    0     1     2     5    -1.839 -0.219 -35.166 1.633 0.078 0.093 0
 23    26    20    -11   -6    -5    -4    0    -1.870 -0.234 -35.423 1.644 0.078 0.103 0
 23    26    20    -11   -6    -5    -4    0    -1.887 -0.255 -35.696 1.655 0.078 0.114 0
 23    26    20    -11   -6    -5    -4    0    -1.886 -0.274 -35.985 1.666 0.078 0.122 0
 23    26    20    -11   -6    -5    -4    0    -1.870 -0.286 -36.287 1.678 0.078 0.131 0
 19    -2    -11   17    2     0     -1    -7   -1.843 -0.290 -36.604 1.690 0.078 0.140 0
 30    48    21    -19   -4    1     2     17   -1.799 -0.294 -36.943 1.701 0.078 0.145 0
 30    48    21    -19   -4    1     2     17   -1.734 -0.314 -37.390 1.712 0.079 0.149 0
 30    48    21    -19   -4    1     2     17   -1.682 -0.344 -37.766 1.718 0.079 0.152 0
 30    48    21    -19   -4    1     2     17   -1.637 -0.393 -38.151 1.721 0.080 0.153 0
 2     -16   -41   1     2     0     2     3    -1.596 -0.455 -38.527 1.725 0.081 0.154 0
 2     -16   -41   1     2     0     2     3    -1.565 -0.525 -38.892 1.731 0.082 0.155 0
 2     -16   -41   1     2     0     2     3    -1.544 -0.587 -39.235 1.738 0.083 0.157 0
 59    46    32    -27   -6    -3    -1    23   -1.525 -0.624 -39.550 1.748 0.085 0.158 0
 59    46    32    -27   -6    -3    -1    23   -1.504 -0.646 -39.856 1.755 0.087 0.156 0
 59    46    32    -27   -6    -3    -1    23   -1.477 -0.652 -40.137 1.763 0.090 0.151 0
 -2    -18   -10   18    7     5     2     -13  -1.454 -0.650 -40.386 1.773 0.093 0.147 0
 -2    -18   -10   18    7     5     2     -13  -1.423 -0.644 -40.611 1.785 0.096 0.142 0
 -2    -18   -10   18    7     5     2     -13  -1.401 -0.624 -40.802 1.801 0.097 0.139 0
 -2    -18   -10   18    7     5     2     -13  -1.376 -0.588 -40.974 1.818 0.099 0.138 0
 -2    -18   -10   18    7     5     2     -13  -1.343 -0.544 -41.137 1.836 0.101 0.135 0
 -27   -24   -23   -14   4     4     4     17   -1.309 -0.498 -41.296 1.854 0.103 0.132 0
 32    9     23    -11   -8    -8    -6    -8   -1.286 -0.464 -41.473 1.870 0.104 0.132 0
 32    9     23    -11   -8    -8    -6    -8   -1.259 -0.442 -41.672 1.883 0.106 0.131 0
 32    9     23    -11   -8    -8    -6    -8   -1.239 -0.433 -41.904 1.894 0.107 0.132 0
 61    51    11    -1    2     1     5     26   -1.220 -0.417 -42.156 1.904 0.108 0.135 0
 61    51    11    -1    2     1     5     26   -1.197 -0.400 -42.438 1.912 0.109 0.136 0
 61    51    11    -1    2     1     5     26   -1.169 -0.386 -42.737 1.919 0.111 0.135 0
 30    -32   11    23    -3    -5    -4    -11  -1.136 -0.396 -43.073 1.922 0.113 0.133 0
 30    -32   11    23    -3    -5    -4    -11  -1.108 -0.425 -43.409 1.926 0.115 0.131 0
